,Latitude,Longitude,TVD_FT,Vintage,LateralLength_FT,WellsPerSectionSameZone,Payzone_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,CONDENSATE,DRY GAS,OIL,WET GAS,1ST BONE SPRING,2ND BONE SPRING,2ND BONE SPRING SAND,3RD BONE SPRING,3RD BONE SPRING SAND,LOWER AVALON,MIDDLE AVALON,UPPER AVALON,WOLFCAMP A LOWER,WOLFCAMP A UPPER,WOLFCAMP B LOWER,WOLFCAMP B UPPER,WOLFCAMP C,WOLFCAMP D,CHILD,CO-COMPLETED,PARENT,STANDALONE,EURWH_MBOE,OilEURWH_MBBL,GasEURWH_BCF
72,32.472036,-103.482211,10881.0,2014,3941.0,2.0,443.0,74.61,2.57,211.18,0.085,0.066,0.16,0.77,0.21,29.37,0.056,24.8,2.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,274,228,0.3
73,32.578725,-104.017654,8489.0,2014,3619.0,3.0,301.0,73.88,2.58,67.18,0.077,0.066,0.14,0.79,0.39,19.81,0.037,11.2,1.62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,386,203,1.1
74,32.194109,-103.574184,12511.0,2018,9659.0,6.0,316.0,58.56,2.58,264.18,0.077,0.063,0.14,0.79,0.35,20.07,0.046,14.5,1.9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,962,543,2.5
75,32.224378,-103.477975,10172.0,2019,4854.0,4.0,283.0,69.02,2.57,108.07,0.081,0.068,0.14,0.79,0.6,19.36,0.029,8.1,2.04,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,636,306,2.0
76,32.042202,-103.949997,10432.0,2022,7421.0,5.0,216.0,81.37,2.59,181.22,0.073,0.06,0.2,0.73,0.41,12.87,0.035,7.6,2.19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1117,573,3.3
77,32.298266,-103.438701,11269.0,2012,3730.0,4.0,263.0,66.85,2.57,30.24,0.081,0.067,0.16,0.77,0.44,17.64,0.037,9.8,2.14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,511,425,0.5
78,32.613906,-103.718522,10011.0,2014,6532.0,1.0,493.0,82.8,2.59,179.23,0.07,0.061,0.14,0.8,0.24,30.23,0.042,20.9,1.85,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,499,404,0.6
79,32.021434,-103.594163,12799.0,2020,7267.0,5.0,284.0,86.83,2.51,60.78,0.125,0.09,0.21,0.7,0.62,25.58,0.027,7.5,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1374,874,3.0
80,32.167393,-103.650593,9573.0,2019,7038.0,8.0,455.0,68.97,2.52,740.77,0.111,0.093,0.15,0.76,0.19,42.5,0.077,35.2,2.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,621,247,2.2
81,32.181877,-103.520728,11152.0,2019,9983.0,5.0,462.0,68.37,2.55,39.58,0.092,0.076,0.17,0.76,0.34,35.33,0.05,23.0,2.28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2350,1696,3.9
82,32.036183,-103.835959,11426.0,2021,7213.0,5.0,194.0,57.29,2.58,114.79,0.074,0.064,0.17,0.77,0.45,12.47,0.037,7.2,2.04,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1489,494,6.0
83,32.274841,-103.936133,10629.0,2020,7201.0,9.0,121.0,89.14,2.57,111.8,0.08,0.064,0.17,0.76,0.47,7.74,0.037,4.4,2.43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,935,336,3.6
84,32.227435,-104.133994,9380.0,2018,4587.0,2.0,136.0,69.66,2.55,83.79,0.096,0.08,0.18,0.75,0.64,10.43,0.031,4.3,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1141,674,2.8
85,32.208383,-103.817855,12522.0,2022,10081.0,7.0,271.0,91.14,2.54,71.94,0.11,0.085,0.2,0.72,0.5,23.09,0.03,8.1,2.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1828,662,7.0
86,32.107506,-103.644878,12338.0,2022,4662.0,7.0,229.0,70.23,2.59,73.57,0.075,0.056,0.23,0.71,0.5,12.85,0.032,7.3,2.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,489,295,1.2
88,32.254869,-103.605029,11135.0,2013,3900.0,4.0,492.0,79.44,2.56,24.0,0.09,0.074,0.17,0.75,0.34,36.3,0.048,23.7,2.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,448,383,0.4
89,32.608748,-103.807575,9465.0,2015,9263.0,1.0,377.0,76.22,2.58,154.24,0.078,0.066,0.15,0.79,0.34,24.95,0.042,15.9,2.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570,456,0.7
90,32.56632,-103.778882,9732.0,2021,5002.0,3.0,422.0,79.75,2.58,131.92,0.078,0.066,0.15,0.78,0.34,27.97,0.044,18.5,2.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,453,288,1.0
